win,matchId,p1_team,p1_champ,p1_position,p1_gold_per_min,p1_xp_per_min,p1_cs_per_min,p1_dmg_taken_per_min,p1_gold_10min,p1_cs_10min,p1_xp_10min,p1_kills_10min,p1_deaths_10min,p1_assists_10min,p1_damage_10min,p2_team,p2_champ,p2_position,p2_gold_per_min,p2_xp_per_min,p2_cs_per_min,p2_dmg_taken_per_min,p2_gold_10min,p2_cs_10min,p2_xp_10min,p2_kills_10min,p2_deaths_10min,p2_assists_10min,p2_damage_10min,p3_team,p3_champ,p3_position,p3_gold_per_min,p3_xp_per_min,p3_cs_per_min,p3_dmg_taken_per_min,p3_gold_10min,p3_cs_10min,p3_xp_10min,p3_kills_10min,p3_deaths_10min,p3_assists_10min,p3_damage_10min,p4_team,p4_champ,p4_position,p4_gold_per_min,p4_xp_per_min,p4_cs_per_min,p4_dmg_taken_per_min,p4_gold_10min,p4_cs_10min,p4_xp_10min,p4_kills_10min,p4_deaths_10min,p4_assists_10min,p4_damage_10min,p5_team,p5_champ,p5_position,p5_gold_per_min,p5_xp_per_min,p5_cs_per_min,p5_dmg_taken_per_min,p5_gold_10min,p5_cs_10min,p5_xp_10min,p5_kills_10min,p5_deaths_10min,p5_assists_10min,p5_damage_10min,p6_team,p6_champ,p6_position,p6_gold_per_min,p6_xp_per_min,p6_cs_per_min,p6_dmg_taken_per_min,p6_gold_10min,p6_cs_10min,p6_xp_10min,p6_kills_10min,p6_deaths_10min,p6_assists_10min,p6_damage_10min,p7_team,p7_champ,p7_position,p7_gold_per_min,p7_xp_per_min,p7_cs_per_min,p7_dmg_taken_per_min,p7_gold_10min,p7_cs_10min,p7_xp_10min,p7_kills_10min,p7_deaths_10min,p7_assists_10min,p7_damage_10min,p8_team,p8_champ,p8_position,p8_gold_per_min,p8_xp_per_min,p8_cs_per_min,p8_dmg_taken_per_min,p8_gold_10min,p8_cs_10min,p8_xp_10min,p8_kills_10min,p8_deaths_10min,p8_assists_10min,p8_damage_10min,p9_team,p9_champ,p9_position,p9_gold_per_min,p9_xp_per_min,p9_cs_per_min,p9_dmg_taken_per_min,p9_gold_10min,p9_cs_10min,p9_xp_10min,p9_kills_10min,p9_deaths_10min,p9_assists_10min,p9_damage_10min,p10_team,p10_champ,p10_position,p10_gold_per_min,p10_xp_per_min,p10_cs_per_min,p10_dmg_taken_per_min,p10_gold_10min,p10_cs_10min,p10_xp_10min,p10_kills_10min,p10_deaths_10min,p10_assists_10min,p10_damage_10min,team100_kills_10min,team200_kills_10min,team100_deaths_10min,team200_deaths_10min,kill_diff_10min,kills_100,kills_200,kill_diff,first_blood_team100,jungle_own_100,jungle_enemy_100,jungle_own_200,jungle_enemy_200,jungle_invade_diff,gold_diff_10min,xp_diff_10min
0,NA1_5464658841,100,Singed,TOP,287.8870336135234,485.79420724012533,8.330360967868863,393.3169802686433,3092,75,4374,0,1,0,1922,100,Hecarim,JUNGLE,424.4411938536121,497.3363598944935,9.10742104223301,610.7407145888676,4322,82,4478,3,0,2,1844,100,Viktor,MIDDLE,365.73068057250225,557.3117470914063,7.996356613205618,393.9653116807099,3793,72,5018,2,1,2,3649,100,Smolder,BOTTOM,268.78268855228384,361.8402788596139,8.107887269848817,383.0993472287255,2920,73,3258,0,2,1,1828,100,Nami,UTILITY,273.76655909207307,255.89458107863388,1.2218778881705523,246.4680995697851,2965,11,2304,2,1,2,1668,200,Camille,TOP,334.2918040110014,536.5518641612272,8.773747628578283,305.21229028557633,3510,79,4831,1,0,1,2990,200,Kindred,JUNGLE,352.5251326815289,435.48505589592054,8.55204690053185,651.3176422335259,3674,77,3921,1,2,0,742,200,Mel,MIDDLE,287.4380526542131,434.16190818836344,7.2193816729401,412.6119329162615,3088,65,3909,1,2,0,2457,200,Kaisa,BOTTOM,364.0390224337374,400.1876473070503,8.885594451935866,321.1149128254374,3778,80,3603,2,1,1,3666,200,Nautilus,UTILITY,202.5599442771466,241.79906460549637,0.8885797552851079,375.53579227724714,2324,8,2177,0,2,2,1418,7,5,5,7,2,7,5,2,0,2,1,1,0,1,718,991
1,NA1_5489233670,100,Zaahen,TOP,318.5508090504909,536.1389834898453,8.663881434518938,518.7830828181977,3368,78,4827,1,1,0,3368,100,Ambessa,JUNGLE,304.5471501794414,437.71693535761864,8.329917650341224,330.8701098668315,3242,75,3941,0,0,0,0,100,Fizz,MIDDLE,231.67879441190593,425.59531350974646,6.441238318871321,466.22350141912256,2586,58,3832,0,2,0,2601,100,Veigar,BOTTOM,259.34786902778177,328.4196029555625,6.219746624362277,467.0115620056804,2835,56,2957,0,3,1,2667,100,Senna,UTILITY,266.6879219085851,263.5757680726476,2.3323731929767737,675.8264587325089,2901,21,2373,1,4,0,2574,200,Shen,TOP,245.11014234571283,510.98475196846005,6.441365821234738,487.0301944926623,2707,58,4601,0,1,1,2492,200,Ekko,JUNGLE,414.905925234217,393.75246783167086,6.44220918637413,572.8531352748131,4236,58,3545,3,0,1,2285,200,Swain,MIDDLE,350.63896391292207,483.8992994208876,7.440864485924759,372.9223369191831,3657,67,4357,2,0,1,2845,200,Jhin,BOTTOM,418.1579706773849,349.6391359710137,7.885761679577058,429.2643009741338,4265,71,3148,4,1,2,6275,200,Nami,UTILITY,288.4258053451994,361.84942944982157,1.999311527764533,339.435053423554,3097,18,3258,1,0,5,2497,2,10,10,2,-8,2,10,-8,0,0,0,0,1,-1,-3030,-979
0,NA1_5502986727,100,TahmKench,TOP,275.2241094835717,421.57694468906425,5.4419594598740275,435.42541783931006,2978,49,3796,1,1,3,3414,100,Graves,JUNGLE,330.420447786497,398.3974631813916,7.21908967673965,565.3182443601967,3475,65,3587,1,3,2,2341,100,Akali,MIDDLE,299.77300885662066,449.26424874072075,6.441820451801142,579.0084277275389,3199,58,4045,2,1,1,4369,100,Caitlyn,BOTTOM,254.12297540014768,303.1068192815664,6.886279550437556,384.86993745778716,2788,62,2729,0,2,1,3505,100,Lux,UTILITY,258.79354055965746,276.9834794165798,1.665752710098555,396.5702325926205,2830,15,2494,2,3,0,4037,200,Urgot,TOP,298.22672163392434,442.0704650289602,5.997975369968797,461.6237961271902,3185,54,3980,1,2,2,3850,200,Volibear,JUNGLE,257.017433330255,344.33599271052043,5.886967801495643,695.6362828455835,2814,53,3100,0,1,1,973,200,Leblanc,MIDDLE,340.3201754964734,403.7288566784012,6.5529963689867525,513.3732947034791,3564,59,3635,3,1,0,5521,200,Draven,BOTTOM,489.7073517662011,354.4113746268327,6.33085001867815,538.3960257608588,4909,57,3191,5,1,0,5490,200,Blitzcrank,UTILITY,280.8584248064829,305.76560586555524,1.554876430114416,498.75518211005743,3029,14,2753,1,1,5,2170,6,10,10,6,-4,6,10,-4,0,0,0,0,2,-2,-2231,-8
0,NA1_5505235731,100,Aurora,TOP,264.2254228866763,481.45706735054097,7.4413843730460165,448.21703405123424,2879,67,4335,0,1,1,4309,100,Zac,JUNGLE,309.7620337784372,356.51175890913834,6.219153455300227,628.896533039425,3289,56,3210,1,1,2,1451,100,Xerath,MIDDLE,333.7611580868359,517.6829479105486,9.218603289939244,290.546878972558,3505,83,4661,1,1,0,3372,100,Yunara,BOTTOM,316.9816863450535,347.9748321593754,7.663201961032529,369.3772201879581,3354,69,3133,1,1,1,2893,100,Bard,UTILITY,191.14638499406036,272.54547363045924,0.666650000462949,360.7461689089446,2221,6,2454,0,1,1,2623,200,KSante,TOP,302.8784944038661,517.3342916285872,8.21844819046068,696.8870515956945,3227,74,4658,1,1,0,3654,200,Olaf,JUNGLE,411.0482645741651,491.23896223562105,9.77364829850998,566.5557750756911,4201,88,4423,2,0,1,1585,200,Jayce,MIDDLE,342.6998242019644,519.4211488737263,9.329605179524057,364.541379517098,3586,84,4677,1,0,0,2832,200,Xayah,BOTTOM,255.90555470813192,357.5301336469954,6.997306045774399,438.90738740870563,2804,63,3219,0,1,0,2242,200,Soraka,UTILITY,255.67931668285993,293.42478641529874,1.3331167398183608,273.77458544437457,2802,12,2642,1,1,2,2805,3,5,5,3,-2,3,5,-2,0,0,0,1,3,-3,-1372,-1826
1,NA1_5508890187,100,Singed,TOP,313.8865650039039,419.6245870349935,8.108150570354873,579.3234502485401,3326,73,3778,1,2,1,3176,100,Jax,JUNGLE,310.78756078397777,345.1178278395075,6.220441864553892,437.8514929259961,3298,56,3107,1,0,1,1506,100,Ahri,MIDDLE,302.88152524473884,502.24405527275513,8.774180878523302,284.91374553429534,3227,79,4522,0,0,1,1861,100,Xayah,BOTTOM,327.21222491521837,348.30426289912475,8.99613312038941,337.799739560236,3446,81,3136,1,1,0,2399,100,Thresh,UTILITY,202.04341183787002,331.0855416516168,2.4434064890841403,355.1131237785656,2319,22,2981,0,1,1,2338,200,Kayle,TOP,274.6747653285825,459.6135342008473,7.330652185731259,320.0269167286758,2973,66,4138,1,1,0,3268,200,Aatrox,JUNGLE,292.244242230486,384.0043577670674,5.776088133235443,591.6108803024767,3131,52,3457,1,1,1,1613,200,Neeko,MIDDLE,232.5830111693975,426.06219880995485,5.997711175408941,231.26676797199784,2594,54,3836,0,0,3,2536,200,Kaisa,BOTTOM,339.6729749099135,363.6643476545209,7.775536461876754,308.80323126395933,3558,70,3274,2,0,0,2921,200,Nami,UTILITY,201.37494878383282,268.12291245875025,0.9994801013772106,219.16480906573224,2313,9,2414,0,1,2,2014,3,4,4,3,-1,3,4,-1,1,2,2,0,0,2,1047,405
1,NA1_5492129649,100,Pantheon,TOP,308.3314363041378,547.2423953502935,9.108003312420166,192.453767173061,3276,82,4927,1,0,0,2288,100,Skarner,JUNGLE,319.0956566088839,379.39509211650403,6.885807435063267,783.4022018049794,3373,62,3416,1,2,1,2691,100,Syndra,MIDDLE,341.6445798523104,443.38698994338654,6.3311343094828425,369.03965257675065,3576,57,3992,2,2,1,2839,100,Aatrox,BOTTOM,296.6483967545664,349.8474367915408,7.88537618235386,461.05592240491086,3171,71,3150,1,0,0,1977,100,Karma,UTILITY,194.36749556502696,291.9781579658225,0.9995594911490916,244.55579711145447,2250,9,2629,0,0,2,2122,200,Riven,TOP,253.01102237155823,496.12091576092394,7.5525645347894494,286.08100073531176,2778,68,4467,0,1,0,916,200,Trundle,JUNGLE,328.7483062428428,309.53712196638014,5.9975678947631,681.644084358579,3460,54,2787,1,0,3,2579,200,Fizz,MIDDLE,370.2742996911077,417.3874507867327,7.108388356119837,661.9485182784595,3834,64,3758,2,3,2,2836,200,Ezreal,BOTTOM,312.9874295727375,349.9758425763788,9.218625988872041,430.2885118226317,3318,83,3151,1,1,1,5698,200,Nami,UTILITY,173.81850734761397,266.88529929858805,1.5549040207427063,128.84023212578802,2065,14,2403,0,0,2,1343,5,4,4,5,1,5,4,1,0,0,0,0,0,0,191,1548
0,NA1_5509930254,100,Kaisa,TOP,363.4109636584347,441.08741987202916,6.998071690480823,588.104209625591,3772,63,3971,2,3,1,5848,100,Viego,JUNGLE,328.6745073854898,377.66442975827954,6.775400047399255,598.3464384505661,3459,61,3400,1,1,2,1794,100,Lissandra,MIDDLE,249.91564232727322,419.06785115048183,7.108551954544968,493.4364753455945,2750,64,3773,0,1,0,3232,100,Vayne,BOTTOM,298.110556293005,308.5584135047252,8.663724722966387,305.78456136045537,3184,78,2778,1,0,0,1493,100,Velkoz,UTILITY,200.3786328893853,362.09577128139443,2.665961522841081,210.35113428707788,2304,24,3260,0,0,0,3738,200,Renekton,TOP,361.3144919717141,482.3858964102103,6.331029671216736,876.2185116695109,3753,57,4343,3,3,1,5006,200,Ekko,JUNGLE,330.42432921361393,349.3521024148198,5.665187812494371,555.4386043193617,3475,51,3145,2,1,0,1774,200,Syndra,MIDDLE,293.90116150366276,492.92620001041684,7.219574138643643,321.00509678268696,3146,65,4438,0,0,1,3226,200,Xayah,BOTTOM,286.90738971522865,337.425225498046,8.886166818467009,279.4896913991618,3083,80,3038,0,0,0,2338,200,Morgana,UTILITY,169.15988331277504,301.5584504425499,1.2216320792023234,320.553433984862,2023,11,2715,0,0,0,1357,4,5,5,4,-1,4,5,-1,1,1,2,0,1,1,-11,-497
0,NA1_5508770007,100,Zaahen,TOP,237.13200625426654,452.27132944808295,6.886331286577873,535.5575400550609,2635,62,4072,0,2,0,3601,100,Sylas,JUNGLE,294.1017702249767,380.39354598883506,7.218891444057724,654.9439870745313,3148,65,3425,0,0,1,808,100,Akshan,MIDDLE,379.5297860546772,559.1104214152141,9.440726409774514,368.1638726142964,3917,85,5034,2,0,0,3352,100,Yunara,BOTTOM,315.98119584789606,312.42377156887574,6.99665074539178,389.0798896256376,3345,63,2813,2,1,0,2781,100,Janna,UTILITY,189.3699519196937,293.65435081487357,1.221746577073472,218.67575618221707,2205,11,2644,0,1,1,1192,200,Zac,TOP,313.9453392587661,506.207255353538,5.997286985023491,590.8587602769046,3327,54,4558,2,0,0,3643,200,Jax,JUNGLE,322.8652517585527,419.4890801551045,7.663134106780281,598.319695087207,3407,69,3777,0,1,2,1301,200,Corki,MIDDLE,284.8831721189438,513.3480669701659,9.440583884222447,386.14701647562237,3065,85,4622,0,1,0,2932,200,Veigar,BOTTOM,355.29674966046116,337.5209751109375,8.551660273343922,222.16629266325432,3699,77,3039,2,1,0,2745,200,Karma,UTILITY,209.8067154213613,308.5328431104882,1.3327171168086835,278.0392333908983,2389,12,2778,0,1,2,2320,4,4,4,4,0,4,4,0,0,2,2,0,0,2,-637,-786
1,NA1_5509775754,100,Akali,TOP,293.0883939255907,539.4120713286919,7.885037695026848,264.8807489219823,3139,71,4857,1,0,0,5636,100,Trundle,JUNGLE,367.15635715532153,426.82812892338893,8.219012700831845,437.68878992264695,3806,74,3843,2,0,1,1203,100,Galio,MIDDLE,357.275791990124,427.0218638765997,6.663546372671115,660.9506128425696,3717,60,3845,3,3,3,5420,100,MissFortune,BOTTOM,266.10515619656894,331.1738945140155,6.774945937951771,292.542825777032,2896,61,2982,0,0,1,4255,100,Janna,UTILITY,232.23673164638987,214.92232736782796,0.7774778987767067,415.0630758484718,2591,7,1935,1,3,2,2319,200,Tryndamere,TOP,282.5406672384963,509.8757805647188,8.551644997415435,731.8946284796945,3044,77,4591,0,1,0,1292,200,Zed,JUNGLE,320.06881196204154,379.4759765379265,7.218460089721933,654.932387087251,3382,65,3417,1,2,1,715,200,Katarina,MIDDLE,345.5225510907114,432.15185906603097,5.553386143071429,572.052794662152,3611,50,3891,3,3,0,4510,200,Jhin,BOTTOM,292.09241975662235,325.63315783975503,7.774557200485276,394.0738625832512,3130,70,2932,0,0,3,3201,200,Pantheon,UTILITY,267.6559177940574,300.18668319298746,1.5546562987480994,558.957828473995,2910,14,2703,2,1,2,3407,7,6,6,7,1,7,6,1,0,1,2,0,0,2,72,-72
1,NA1_5479310560,100,Jayce,TOP,365.55616906179785,514.6087393208331,6.330883458736924,759.6315361468179,3791,57,4633,5,2,0,10095,100,Nunu,JUNGLE,296.86459752001593,351.4841388088549,7.107387349308404,786.806008396869,3173,64,3165,0,1,2,1447,100,Riven,MIDDLE,404.8579961157603,556.2225315198798,6.9968882897504585,529.569026402899,4145,63,5008,4,0,1,4559,100,Hwei,BOTTOM,363.3110839039958,377.85033811563267,9.32992887251014,323.57750992012376,3771,84,3402,2,1,1,3049,100,Senna,UTILITY,281.3430326783696,327.8640633477082,1.4439374396804365,323.2829321910182,3033,13,2952,1,0,2,3171,200,Irelia,TOP,270.72023712409316,329.50950054439267,5.886441138291586,935.6077499440419,2938,53,2967,1,5,1,4050,200,Zeri,JUNGLE,345.85949952531314,334.05654340697373,6.663302033487515,666.3218567296869,3614,60,3008,2,2,0,2230,200,Malzahar,MIDDLE,235.13364250199635,394.13842098849176,5.997936615695611,350.31870297279244,2617,54,3549,0,2,1,2261,200,Seraphine,BOTTOM,278.7769374841257,334.0794624241171,6.6634500622711785,404.509406435975,3010,60,3008,1,2,1,2919,200,Karma,UTILITY,202.4785792243996,246.98745675996952,1.5546917315032016,637.4638089146987,2323,14,2224,0,1,3,1778,12,4,4,12,8,12,4,8,0,2,1,0,0,1,3411,4404
