win,matchId,p1_team,p1_champ,p1_position,p1_gold_per_min,p1_xp_per_min,p1_cs_per_min,p1_dmg_taken_per_min,p1_gold_10min,p1_cs_10min,p1_xp_10min,p1_kills_10min,p1_deaths_10min,p1_assists_10min,p1_damage_10min,p2_team,p2_champ,p2_position,p2_gold_per_min,p2_xp_per_min,p2_cs_per_min,p2_dmg_taken_per_min,p2_gold_10min,p2_cs_10min,p2_xp_10min,p2_kills_10min,p2_deaths_10min,p2_assists_10min,p2_damage_10min,p3_team,p3_champ,p3_position,p3_gold_per_min,p3_xp_per_min,p3_cs_per_min,p3_dmg_taken_per_min,p3_gold_10min,p3_cs_10min,p3_xp_10min,p3_kills_10min,p3_deaths_10min,p3_assists_10min,p3_damage_10min,p4_team,p4_champ,p4_position,p4_gold_per_min,p4_xp_per_min,p4_cs_per_min,p4_dmg_taken_per_min,p4_gold_10min,p4_cs_10min,p4_xp_10min,p4_kills_10min,p4_deaths_10min,p4_assists_10min,p4_damage_10min,p5_team,p5_champ,p5_position,p5_gold_per_min,p5_xp_per_min,p5_cs_per_min,p5_dmg_taken_per_min,p5_gold_10min,p5_cs_10min,p5_xp_10min,p5_kills_10min,p5_deaths_10min,p5_assists_10min,p5_damage_10min,p6_team,p6_champ,p6_position,p6_gold_per_min,p6_xp_per_min,p6_cs_per_min,p6_dmg_taken_per_min,p6_gold_10min,p6_cs_10min,p6_xp_10min,p6_kills_10min,p6_deaths_10min,p6_assists_10min,p6_damage_10min,p7_team,p7_champ,p7_position,p7_gold_per_min,p7_xp_per_min,p7_cs_per_min,p7_dmg_taken_per_min,p7_gold_10min,p7_cs_10min,p7_xp_10min,p7_kills_10min,p7_deaths_10min,p7_assists_10min,p7_damage_10min,p8_team,p8_champ,p8_position,p8_gold_per_min,p8_xp_per_min,p8_cs_per_min,p8_dmg_taken_per_min,p8_gold_10min,p8_cs_10min,p8_xp_10min,p8_kills_10min,p8_deaths_10min,p8_assists_10min,p8_damage_10min,p9_team,p9_champ,p9_position,p9_gold_per_min,p9_xp_per_min,p9_cs_per_min,p9_dmg_taken_per_min,p9_gold_10min,p9_cs_10min,p9_xp_10min,p9_kills_10min,p9_deaths_10min,p9_assists_10min,p9_damage_10min,p10_team,p10_champ,p10_position,p10_gold_per_min,p10_xp_per_min,p10_cs_per_min,p10_dmg_taken_per_min,p10_gold_10min,p10_cs_10min,p10_xp_10min,p10_kills_10min,p10_deaths_10min,p10_assists_10min,p10_damage_10min,team100_kills_10min,team200_kills_10min,team100_deaths_10min,team200_deaths_10min,kill_diff_10min,kills_100,kills_200,kill_diff,first_blood_team100,jungle_own_100,jungle_enemy_100,jungle_own_200,jungle_enemy_200,jungle_invade_diff,gold_diff_10min,xp_diff_10min
0,NA1_5510315452,100,Darius,TOP,223.3361579391059,396.68957244371,4.553179470683057,648.545202472554,2511,41,3572,1,2,0,4604,100,RekSai,JUNGLE,276.87008333363707,355.49760702448236,6.663336017034328,835.1959922734553,2993,60,3201,0,1,1,1099,100,Ahri,MIDDLE,303.1983634837559,540.8555782967755,9.995270106600973,278.96743665904177,3230,90,4870,0,0,0,1471,100,Smolder,BOTTOM,332.4103796051406,375.055144504477,8.32931040978286,242.15721152925778,3493,75,3377,1,0,1,3084,100,Nami,UTILITY,231.46502181155645,296.52902728024077,0.9994652570478197,264.8952656272178,2584,9,2670,1,0,1,2917,200,Aatrox,TOP,322.5226334177444,501.74889706404025,6.996275326056067,422.51469178976566,3404,63,4518,2,0,0,4131,200,Rengar,JUNGLE,325.1761054750684,397.80620256925494,7.107528356144147,689.3409336049948,3428,64,3582,1,2,1,2449,200,Syndra,MIDDLE,278.8779568759888,537.4243784163709,9.218371096996524,194.6823306154697,3011,83,4839,0,0,0,1943,200,AurelionSol,BOTTOM,257.7710553750334,337.95357821558576,7.996502432888802,337.0983925287208,2821,72,3043,0,0,1,2401,200,Senna,UTILITY,214.5708044619672,249.75869557749073,1.7770357089256952,355.44474388544,2432,16,2249,0,1,1,2660,3,3,3,3,0,3,3,0,1,1,0,0,0,0,-285,-541
1,NA1_5506807392,100,Rengar,TOP,484.7844608279164,462.3333184489372,8.331099681149489,633.1664988039107,4864,75,4162,5,0,0,5605,100,Ivern,JUNGLE,277.273602895948,284.71163192556827,3.888050546065174,311.63191110794315,2996,35,2563,0,1,5,1263,100,Neeko,MIDDLE,313.81635573547203,500.2066010652295,8.109282792201713,443.989152657236,3325,73,4503,1,1,0,3280,100,Ezreal,BOTTOM,262.49662247225274,258.72062186820676,5.443320937931483,393.5944175224601,2863,49,2329,1,1,0,2338,100,Taric,UTILITY,152.9591087801125,310.3518443061947,1.6660541313703179,423.818593395887,1877,15,2794,0,2,0,68,200,Gwen,TOP,231.05894526670332,287.22476441706004,3.665411896612164,671.3248735455524,2580,33,2586,1,4,0,3853,200,RekSai,JUNGLE,289.0515258808491,382.3652342799986,6.998561992025702,656.6362564708497,3102,63,3442,0,1,1,510,200,Qiyana,MIDDLE,377.3690963861916,455.77645760000945,6.998090338117226,495.07734254944705,3897,63,4103,3,1,0,3739,200,Caitlyn,BOTTOM,430.57237841942384,382.0223453921261,9.886544216717326,248.71867181708902,4376,89,3439,1,0,1,4410,200,Zyra,UTILITY,223.72369445158037,306.261423641464,0.7776371569144794,187.85231330228157,2514,7,2757,0,1,2,2183,7,5,5,7,2,7,5,2,0,0,0,0,1,-1,-544,24
0,NA1_5505177147,100,Kled,TOP,291.80344931042777,468.209509732526,5.443117130895448,832.7720121702387,3127,49,4215,2,1,0,5268,100,Ekko,JUNGLE,272.8214726153924,347.13096299220956,6.887078464707963,706.2726236949684,2956,62,3125,0,2,0,1590,100,Pantheon,MIDDLE,291.1535279740542,469.32786115907516,6.776159817183755,495.6741053279927,3121,61,4225,1,2,0,2247,100,Vayne,BOTTOM,255.05191799774917,339.8072504042178,7.664941309657008,237.60108154264552,2796,69,3059,0,0,0,720,100,Renata,UTILITY,167.2920124179268,326.0358992416882,2.332722423012998,212.27357064230617,2006,21,2935,0,0,0,507,200,Irelia,TOP,324.36821619634804,469.3312611437168,7.7759117190315346,668.7518199215737,3420,70,4225,1,1,1,3988,200,Kayn,JUNGLE,360.24802751370714,401.13232038255273,7.887006203355678,678.2708032497317,3743,71,3611,2,1,0,3395,200,Zed,MIDDLE,354.48020081400927,544.763864178539,7.998056233370044,326.2694904107461,3691,72,4904,2,1,0,3644,200,Caitlyn,BOTTOM,307.48116849479914,353.6944050956005,9.664330457874241,83.75943007365154,3268,87,3184,0,0,0,2472,200,Karma,UTILITY,200.94909708225507,334.47130896941593,0.44436298881720676,133.2887402210568,2309,4,3011,0,0,1,1470,3,5,5,3,-2,3,5,-2,0,0,0,2,2,-2,-2425,-1376
1,NA1_5506307278,100,Jayce,TOP,412.72389281445146,507.16220378902875,8.221129908477172,573.8288230280175,4215,74,4565,4,1,0,6353,100,Viego,JUNGLE,317.84395796503645,324.2904758096668,5.999133612351233,643.0432417102566,3361,54,2919,1,2,2,2751,100,Fizz,MIDDLE,329.49781858223713,470.157070161136,8.332128106201447,301.3873705115384,3466,75,4232,1,0,0,2075,100,Kaisa,BOTTOM,330.05698040646286,366.72715884545823,9.443205896563036,124.20208818822283,3471,85,3301,1,0,1,1825,100,Amumu,UTILITY,184.1947396056344,242.19357733084266,1.4442833697709978,301.72576886219144,2158,13,2180,0,2,2,1497,200,Urgot,TOP,330.85129019322846,467.275955148519,6.776861364870122,599.9295345863619,3478,61,4206,2,3,0,4413,200,Vi,JUNGLE,275.40978574759674,327.5178558056734,5.9993371613852355,660.7866240184431,2979,54,2948,0,2,3,1389,200,Ahri,MIDDLE,328.6240668541996,486.9331764175238,7.554639109211156,396.2794726326169,3458,68,4383,2,0,1,3335,200,KogMaw,BOTTOM,311.50512096910074,307.40107995162936,7.443613136949681,131.96667653462995,3304,67,2767,1,0,2,2482,200,Nautilus,UTILITY,189.6346138183059,261.1895763470061,1.5553519104699294,335.8110210424616,2207,14,2351,0,2,3,1028,7,5,5,7,2,7,5,2,1,0,0,0,1,-1,1245,542
1,NA1_5509775754,100,Akali,TOP,293.0883939255907,539.4120713286919,7.885037695026848,264.8807489219823,3139,71,4857,1,0,0,5636,100,Trundle,JUNGLE,367.15635715532153,426.82812892338893,8.219012700831845,437.68878992264695,3806,74,3843,2,0,1,1203,100,Galio,MIDDLE,357.275791990124,427.0218638765997,6.663546372671115,660.9506128425696,3717,60,3845,3,3,3,5420,100,MissFortune,BOTTOM,266.10515619656894,331.1738945140155,6.774945937951771,292.542825777032,2896,61,2982,0,0,1,4255,100,Janna,UTILITY,232.23673164638987,214.92232736782796,0.7774778987767067,415.0630758484718,2591,7,1935,1,3,2,2319,200,Tryndamere,TOP,282.5406672384963,509.8757805647188,8.551644997415435,731.8946284796945,3044,77,4591,0,1,0,1292,200,Zed,JUNGLE,320.06881196204154,379.4759765379265,7.218460089721933,654.932387087251,3382,65,3417,1,2,1,715,200,Katarina,MIDDLE,345.5225510907114,432.15185906603097,5.553386143071429,572.052794662152,3611,50,3891,3,3,0,4510,200,Jhin,BOTTOM,292.09241975662235,325.63315783975503,7.774557200485276,394.0738625832512,3130,70,2932,0,0,3,3201,200,Pantheon,UTILITY,267.6559177940574,300.18668319298746,1.5546562987480994,558.957828473995,2910,14,2703,2,1,2,3407,7,6,6,7,1,7,6,1,0,1,2,0,0,2,72,-72
0,NA1_5510089088,100,Sett,TOP,209.00245160010797,346.9236628425871,4.330737046032425,753.4110265097185,2382,39,3124,0,3,1,2635,100,Hecarim,JUNGLE,373.27342460927815,388.5829752656907,6.996343072422078,839.3733196607914,3861,63,3499,3,2,0,2849,100,Veigar,MIDDLE,321.5064657355951,499.6427296674939,7.662728359635555,384.3514798558569,3395,69,4499,1,0,1,3989,100,Ezreal,BOTTOM,294.41644078385605,357.71553856258106,8.66243207529948,353.5160345793886,3151,78,3221,0,1,2,3524,100,Leona,UTILITY,214.90101677881674,309.5128269131211,1.3326319089224041,375.72535322563834,2435,12,2787,1,0,1,3491,200,Pantheon,TOP,394.2687604575192,478.549915152262,5.663929368982557,488.3307516740331,4050,51,4309,5,1,0,8016,200,Graves,JUNGLE,296.0719582878905,344.60062198034825,5.996772476645189,684.7929380370181,3166,54,3103,0,2,3,2199,200,Orianna,MIDDLE,293.96859141033383,505.8618318255099,8.773434042437335,360.0585784492159,3147,79,4555,0,1,1,2713,200,Kaisa,BOTTOM,234.32594811456218,307.8494830570387,5.774705698716381,419.581477790498,2610,52,2772,0,1,0,2559,200,Janna,UTILITY,172.02916630386855,280.19329639678347,1.5547837861340257,350.1513405614564,2049,14,2523,0,0,0,2109,5,5,6,5,0,5,5,0,0,2,0,1,0,0,202,-132
1,NA1_5510457919,100,Irelia,TOP,382.17442933807394,456.35827779043353,8.440985329441006,448.4597522621741,3941,76,4109,2,0,1,3212,100,Graves,JUNGLE,345.2942806783525,426.92590973324604,7.774348633970495,622.3756509851955,3609,70,3844,1,0,3,3321,100,Zed,MIDDLE,375.9660831651524,582.9925684589255,8.32990946479512,415.5219864049638,3885,75,5249,3,0,1,5375,100,Ziggs,BOTTOM,257.6617062609658,312.1949014677833,6.552787033954986,475.04416876267936,2820,59,2811,1,1,0,2907,100,Soraka,UTILITY,176.25078681895462,239.2108765468876,1.1104763658425614,342.73580465280224,2087,10,2154,0,1,1,1079,200,Camille,TOP,253.5505394537558,466.0095149472839,7.7741156330090275,383.3719112000759,2783,70,4196,0,1,0,2756,200,Skarner,JUNGLE,251.65589541782577,289.9669814914343,5.219407688737642,723.3376433235348,2766,47,2611,0,2,1,2407,200,MasterYi,MIDDLE,218.23693514460612,400.146996675143,5.775336747541801,709.8413091554424,2465,52,3603,0,3,0,3857,200,Jhin,BOTTOM,338.1863902560401,331.07264114687484,8.107696697976051,230.45616792225732,3545,73,2981,2,0,0,4127,200,Ashe,UTILITY,222.4691593150029,328.08650268137484,1.9991283716235273,265.8818795166296,2503,18,2954,0,1,1,2623,7,2,2,7,5,7,2,5,1,0,2,1,1,1,2280,1822
1,NA1_5509372305,100,Sion,TOP,324.74945052325205,509.8845176887701,10.106639549292481,730.001201957229,3424,91,4591,0,2,0,1517,100,Graves,JUNGLE,364.07095762764743,404.0544507123781,7.552368448007851,533.673216919767,3778,68,3638,2,0,0,1883,100,Kayle,MIDDLE,362.5295962589286,566.3362476435236,9.551665027757512,388.84764808602347,3764,86,5099,1,0,1,2115,100,Caitlyn,BOTTOM,311.9819084788821,358.850815487963,9.107300213258874,272.9879830563571,3309,82,3231,0,0,0,3818,100,Zilean,UTILITY,198.80694972196721,327.853915177994,0.8885945726180622,249.0068685612905,2290,8,2952,0,0,0,2006,200,Jax,TOP,312.323052997138,517.6704434903611,7.88548519944189,250.90432782446604,3312,71,4661,1,0,1,4273,200,Kayn,JUNGLE,327.531416970156,403.3723190481812,6.885613086171631,575.7490366924935,3449,62,3632,1,0,1,2054,200,Heimerdinger,MIDDLE,262.7811447871252,443.4694800945308,7.330096265298696,364.3363587403611,2866,66,3993,0,2,0,3481,200,MissFortune,BOTTOM,252.00207223360425,306.2999499953132,6.774701808443748,337.6520178119788,2769,61,2758,0,0,0,1764,200,Sona,UTILITY,167.48637669742894,272.7676368190407,1.110618818127573,367.9550777545356,2008,10,2456,0,1,0,1861,3,2,2,3,1,3,2,1,1,1,0,2,1,-1,2161,2011
0,NA1_5510151092,100,Irelia,TOP,248.9129151617519,406.73260554633293,7.330389857122847,448.3812979122218,2741,66,3662,0,2,0,1631,100,Malphite,JUNGLE,286.2318820510555,325.3106985907671,5.775185608559655,540.2004261258884,3077,52,2929,1,2,1,2078,100,Qiyana,MIDDLE,381.642946588221,507.05632001172825,7.553353527637471,408.5417898027015,3936,68,4565,2,1,0,4510,100,Lux,BOTTOM,389.46588294062894,322.5612036650878,5.775788711603279,226.1752694401875,4006,52,2904,4,1,4,4560,100,Neeko,UTILITY,345.3708460578909,288.12106048921873,0.666304056084128,411.24137031049816,3609,6,2594,3,2,5,3762,200,Zaahen,TOP,384.3630260545048,494.65905806773026,7.66483250589965,360.6263398295953,3960,69,4453,3,0,0,3651,200,JarvanIV,JUNGLE,330.224094733229,375.4037546403964,6.219043675348829,710.4670106274782,3473,56,3380,0,1,5,2642,200,Ahri,MIDDLE,308.3667208223614,463.3025807281508,7.330968455417263,450.51664917537545,3276,66,4171,2,2,0,2380,200,Ashe,BOTTOM,365.3461626123269,329.78794709420924,6.775329745053434,458.2389452048503,3789,61,2969,3,3,1,2955,200,Rumble,UTILITY,215.27322094685584,265.56977870854706,0.9997520291261863,606.37681699794,2438,9,2391,0,4,3,3321,10,8,8,10,2,10,8,2,1,0,0,2,1,-1,433,-710
1,NA1_5509663448,100,Jax,TOP,342.31221167843563,489.2655135480705,8.552442263988082,594.89746648816,3582,77,4405,2,1,0,4192,100,Zac,JUNGLE,284.55103892166375,320.9857526836902,6.330790377381593,848.2468339097497,3062,57,2890,0,1,4,1456,100,Orianna,MIDDLE,305.08511849357575,486.66298980421084,8.107394948023215,386.1720349239261,3247,73,4382,1,1,3,3294,100,Aphelios,BOTTOM,432.79989416334496,358.1970897608163,7.663930859888647,331.8575831693733,4397,69,3225,4,0,2,4474,100,Pyke,UTILITY,307.9881733852895,332.986847376101,2.33256144963827,493.46616673851827,3273,21,2998,1,0,7,2257,200,Malphite,TOP,279.2103965948314,451.12074603429835,7.440806080527697,551.8243937283389,3014,67,4062,0,1,3,4039,200,Amumu,JUNGLE,282.88200928598883,371.7375789390756,6.663740622705159,781.8253504857126,3047,60,3347,0,3,3,3519,200,Yone,MIDDLE,368.4181869291267,484.6763019704935,8.66310764468927,484.44563477665764,3817,78,4364,2,1,1,3382,200,Velkoz,BOTTOM,205.0201391741315,260.77580042952445,5.552920228775012,417.4859524724185,2346,50,2348,0,3,0,1953,200,Thresh,UTILITY,221.02773508616087,289.30817204291156,1.4436876173877535,99.51001031979702,2490,13,2605,1,0,2,2178,8,3,3,8,5,8,3,5,1,2,2,0,0,2,2847,1174
